Dt,weight
4437.383,2.3433680731025045e-06
4400.708,8.525450442624117e-06
4387.778,1.4319565077723825e-05
4382.853,7.057503873475348e-07
4387.273,1.8196534385564517e-06
4399.05,1.4768278968368234e-06
4387.1720000000005,2.467350231566232e-06
4397.387,8.652826157532244e-06
4407.264,2.0812915338369456e-06
4408.255,6.887769311445426e-08
4425.693,1.100393302487937e-06
4402.106,1.0553589154243426e-06
4402.24,1.752734506840686e-05
4425.6179999999995,2.1354687675302744e-06
4414.001,1.7571261681216767e-05
4428.092000000001,5.779847152009245e-07
4430.196,1.7898743230908485e-06
4441.701,2.4679779801895538e-06
4449.708,1.7887462325080992e-06
4484.648,1.8546139302926157e-05
4489.17,2.4791046568975937e-06
4494.652,8.789151287900226e-07
4500.5779999999995,1.1756942515652366e-06
4520.795,1.8964729512714346e-05
4524.65,6.478267787559402e-06
4534.468,2.0587317854477745e-06
4537.34,1.0308896145261009e-05
4516.683,5.00988999585591e-06
4511.905,4.303828571187207e-06
4510.229,1.7291157872734698e-06
4523.793,3.5403758605064213e-07
4523.565,1.2339484985032152e-06
4495.417,5.488880249026633e-06
4484.835,2.7013704823192653e-06
4460.598,4.4515336441416593e-07
4455.305,6.992655429001994e-07
4445.373,2.543573460461526e-06
4426.473,5.414447934856214e-06
4458.155,4.894797418143486e-06
4464.8859999999995,1.532154369587475e-05
4460.111,3.929523782972829e-07
4442.741,1.032106425538769e-06
4453.968,3.54640472320929e-06
4465.553,3.5471707106420204e-06
4464.153,4.6254638572004247e-07
4470.367,3.235137863718175e-06
4463.508,1.9476058362590542e-06
4450.789000000001,1.0784834828295679e-05
4457.322,8.46586848413607e-07
4488.463,6.16957743125111e-06
4470.2029999999995,3.962723793154844e-06
4474.733,3.639925341040072e-06
4464.265,5.916765471298197e-06
4451.109,5.838222099997231e-06
4457.148,1.977358645085554e-06
4441.269,2.0290465485766205e-06
4454.121,1.0597562506863164e-06
4463.54,2.4185782384840727e-07
4484.197,7.079255853299093e-07
4501.2970000000005,1.968585638852633e-06
4498.02,1.4005293587393885e-05
4501.851,1.7841152323929087e-06
4504.764,1.490736371675986e-07
4494.781,1.032844043066584e-06
4497.862,8.705377537765663e-07
4505.913,6.385338295383779e-07
4508.603,1.8136761574988858e-06
4476.758,1.6612776706384273e-06
4483.567,4.745277702907318e-06
4483.210999999999,1.9732125124361996e-06
4469.332,7.374163593982759e-06
4472.252,2.343885952821334e-06
4473.565,5.518544853239666e-07
4460.28,2.6870240793114913e-06
4458.634,4.410231189115646e-06
4449.2970000000005,3.2696975660703445e-06
4422.2970000000005,9.410436731066155e-06
4426.045999999999,4.516741096866313e-06
4442.628,1.963848380548121e-06
4436.259,1.2358998321449802e-05
4410.159000000001,4.6262592461709785e-06
4396.991,1.1693724051170546e-05
4430.766,1.7300365196421064e-05
4418.0740000000005,2.9462471219589578e-06
4404.038,1.6518892953770563e-06
4402.769,6.120966888718745e-07
4399.997,5.9295164540167885e-06
4406.374,8.754261463018128e-06
4399.178,3.967498190243974e-06
4404.684,1.4633558027169137e-06
4398.392,1.3764190660924466e-06
4404.207,4.58861083489814e-06
4389.855,3.8975132455314726e-06
4382.913,1.985760779288755e-07
4382.67,3.2480018102399772e-06
4370.985,1.842772847797147e-06
4376.159000000001,2.9578447390886014e-06
4359.127,4.385814501495612e-06
4370.666,5.288036796715229e-06
4384.818,1.0797817928418127e-06
4363.156,1.5511415732230473e-06
4370.434,5.401036707077761e-07
4374.931,1.1667948703013262e-05
4381.102,3.3840633584004672e-06
4353.664000000001,5.672201416429034e-06
4360.109,1.6603909821556903e-06
4360.562,4.6359148143550115e-07
4368.765,3.4530455559283024e-06
4370.619000000001,9.474986001996758e-07
4393.948,1.0252708259033817e-06
4392.752,3.4886570080281745e-06
4423.217000000001,4.990081096610682e-06
4403.92,8.577620118682301e-07
4396.414000000001,8.926508051174243e-06
4388.884,3.2057992555034487e-06
4371.253,5.509729550057598e-07
4369.848,1.8722579478845303e-06
4377.428,7.829077598392439e-07
4377.8679999999995,2.1691557084439383e-05
4371.821,2.4632417535179477e-06
4364.359,1.5424861731414145e-06
4356.108,3.06235998461545e-06
4367.412,6.205803220746526e-06
4397.248,1.5707787055894219e-06
4389.366,5.859974079820976e-06
4408.093,1.567007571501411e-06
4415.984,1.7042059791243513e-06
4417.96,1.7212681557572626e-06
4420.497,5.848718964816135e-06
4445.233,1.178873744181636e-05
4442.655,7.970148240128181e-07
4453.308,3.835245430772564e-06
4464.429,1.087209033948811e-06
4474.52,1.4595965324073224e-06
4474.121,7.533726255559176e-06
4493.335,3.2030272578849328e-06
4478.245,5.3764374204333595e-06
4468.615,4.3735421964454215e-06
4464.986,7.549958999335636e-07
4467.959,5.067021826192124e-07
4478.808,1.0366084715407053e-06
4480.7390000000005,5.0897363195172e-06
4481.306,5.167841246833103e-06
4485.68,5.569368248355475e-07
4487.3820000000005,2.1849866312034964e-06
4490.913,8.67655371437105e-06
4513.641,3.970898968118718e-06
4523.7390000000005,2.289993965626524e-06
4497.366,2.0517471148574652e-06
4503.246,7.041018379636909e-06
4488.617,8.409938506135387e-06
4491.342000000001,1.2422608806435912e-06
4469.834,1.4102932483785555e-06
4471.308,1.3596225349328396e-06
4450.099,1.0897937901948814e-06
4429.24,1.0945006153286658e-06
4401.157999999999,6.9365345989136935e-06
4392.213,1.2793140397296466e-05
4410.776,6.52256094638001e-06
4416.127,5.485687345182455e-07
4397.62,1.46720998325386e-06
4375.414000000001,1.955026371752163e-06
4384.196,6.707692629532503e-07
4384.167,1.942273841584213e-06
4381.023,5.453510714843226e-07
4373.812,2.0318262834419317e-06
4362.061,6.578253648812305e-06
4342.4529999999995,3.2219030451666537e-06
4358.146,4.272398843071948e-06
4350.18,4.833605596505574e-06
4355.282,2.3086974702129367e-05
4363.528,2.090458623839972e-07
4348.633,2.628886922708347e-06
4348.954000000001,2.1397247690841214e-06
4356.380999999999,1.5540703790432805e-06
4355.059,3.886665109708062e-06
4361.677,2.3710767013256957e-06
4363.041,1.3282763690829692e-06
4364.996,2.895522763602127e-06
4347.126,9.298231178041269e-06
4353.561,2.7959939157265985e-06
4369.582,1.5434780881805671e-06
4330.115,4.455589508911736e-06
4328.285,1.0860793959167029e-06
4337.473,3.607244758026245e-06
4346.077,1.2226149793975157e-06
4321.832,5.833430165148699e-07
4331.6759999999995,8.618735848152322e-06
4328.389,8.613453887673423e-06
4325.642,4.377703287771912e-06
4330.1320000000005,1.61412482540229e-06
4329.18,2.411760692424541e-06
4333.952,1.8535616647284598e-06
4344.145,7.247185057743455e-07
4326.504,9.18296683344999e-07
4341.527,3.4074767830193824e-06
4345.21,1.3771247030001746e-05
4338.815,1.3590881490875135e-06
4334.126,9.67167713186137e-07
4371.572,9.768805369964557e-07
4382.188,5.442348446799929e-06
4378.951,2.036915844383855e-06
4370.433,3.8751020522807705e-05
4387.005999999999,1.2371775094991042e-06
4388.862,6.706846690549556e-07
4364.210999999999,7.859753202853387e-06
4374.645,1.0939270274329104e-06
4365.274,5.647008940863662e-06
4364.529,2.3026376585228876e-06
4355.514,7.603959823802034e-06
4330.982,1.389642536682002e-06
4341.678,2.2009661091015245e-06
4325.752,4.292405300018683e-06
4306.982,8.848604292275018e-07
4305.758,5.957855409945567e-06
4279.099,2.8875745478775814e-07
4273.849,7.3187184834479146e-06
